home,away,close_time,pre_close_mid
MIN,UTA,2025-11-11 04:44:32.753325+00:00,0.725
NOP,PHX,2025-11-11 04:49:27.816830+00:00,0.235
ATL,LAC,2025-11-11 06:09:27.784284+00:00,0.365
MEM,NYK,2025-11-12 03:09:32.932744+00:00,0.205
TOR,BKN,2025-11-12 03:14:37.568095+00:00,0.215
BOS,PHI,2025-11-12 03:44:29.706977+00:00,0.545
GSW,OKC,2025-11-12 04:04:36.727732+00:00,0.265
IND,UTA,2025-11-12 05:09:28.040956+00:00,0.545
DEN,SAC,2025-11-12 06:49:28.240117+00:00,0.755
CHI,DET,2025-11-13 02:39:48.425112+00:00,0.525
MIL,CHA,2025-11-13 02:54:50.946230+00:00,0.435
MEM,BOS,2025-11-13 03:09:42.533857+00:00,0.745
ORL,NYK,2025-11-13 03:09:48.725350+00:00,0.625
CLE,MIA,2025-11-13 03:24:37.319131+00:00,0.365
POR,NOP,2025-11-13 03:54:32.737889+00:00,0.255
GSW,SAS,2025-11-13 04:14:32.565636+00:00,0.395
PHX,DAL,2025-11-13 04:34:27.488979+00:00,0.445
LAL,OKC,2025-11-13 05:24:24.298618+00:00,0.275
ATL,SAC,2025-11-13 05:34:26.383330+00:00,0.615
DEN,LAC,2025-11-13 06:19:26.346969+00:00,0.645
TOR,CLE,2025-11-14 02:49:29.743787+00:00,0.725
ATL,UTA,2025-11-14 04:44:30.133759+00:00,0.535
IND,PHX,2025-11-14 05:09:31.392812+00:00,0.385
BKN,ORL,2025-11-15 02:49:43.309393+00:00,0.125
MIA,NYK,2025-11-15 03:04:37.290467+00:00,0.315
PHI,DET,2025-11-15 03:09:39.163138+00:00,0.515
POR,HOU,2025-11-15 03:39:34.184848+00:00,0.735
SAC,MIN,2025-11-15 03:49:35.933204+00:00,0.825
LAL,NOP,2025-11-15 03:54:28.745773+00:00,0.815
CHA,MIL,2025-11-15 04:04:28.885810+00:00,0.235
LAC,DAL,2025-11-15 05:14:29.811719+00:00,0.205
GSW,SAS,2025-11-15 05:24:25.702232+00:00,0.425
MEM,CLE,2025-11-16 00:49:36.215877+00:00,0.835
TOR,IND,2025-11-16 02:59:37.651809+00:00,0.285
DEN,MIN,2025-11-16 04:03:59.829116+00:00,0.525
LAL,MIL,2025-11-16 04:14:29.589633+00:00,0.465
LAC,BOS,2025-11-16 23:29:50.961642+00:00,0.665
SAC,SAS,2025-11-16 23:44:41.474103+00:00,0.315
BKN,WAS,2025-11-17 01:44:40.458193+00:00,0.43
GSW,NOP,2025-11-17 02:44:34.544531+00:00,0.82
ORL,HOU,2025-11-17 03:19:35.837001+00:00,0.755
POR,DAL,2025-11-17 03:39:33.207947+00:00,0.395
ATL,PHX,2025-11-17 04:24:27.775801+00:00,0.485
CHI,UTA,2025-11-17 04:39:28.917803+00:00,0.64
MIL,CLE,2025-11-18 02:34:46.877748+00:00,0.695
LAC,PHI,2025-11-18 02:49:41.129036+00:00,0.345
IND,DET,2025-11-18 03:04:37.160397+00:00,0.745
NYK,MIA,2025-11-18 03:19:37.787155+00:00,0.515
CHA,TOR,2025-11-18 03:24:32.693273+00:00,0.245
DAL,MIN,2025-11-18 03:44:34.201965+00:00,0.125
CHI,DEN,2025-11-18 05:04:29.851064+00:00,0.125
GSW,ORL,2025-11-19 02:54:34.340968+00:00,0.605
BOS,BKN,2025-11-19 03:09:36.316608+00:00,0.165
DET,ATL,2025-11-19 03:14:34.931877+00:00,0.44
MEM,SAS,2025-11-19 03:44:35.309143+00:00,0.335
UTA,LAL,2025-11-19 06:24:28.090048+00:00,0.845
PHX,POR,2025-11-19 06:44:32.328838+00:00,0.465
TOR,PHI,2025-11-20 02:34:47.002319+00:00,0.445
CHA,IND,2025-11-20 02:34:53.011655+00:00,0.535
HOU,CLE,2025-11-20 02:59:52.611705+00:00,0.47
GSW,MIA,2025-11-20 03:09:42.866012+00:00,0.225
DEN,NOP,2025-11-20 03:59:44.157061+00:00,0.885
NYK,DAL,2025-11-20 05:34:31.950631+00:00,0.235
CHI,POR,2025-11-20 05:44:37.587377+00:00,0.595
